"","V1","V2","V3"
"1","neither_mu","'-0.475 (0.496)","'4.072*** (0.734)"
"2","permhc_mu","'3.86*** (0.511)","'4.747*** (0.857)"
"3","dist5_mu","'-0.724* (0.347)","'1.807** (0.656)"
"4","dist15_mu","'-1.278*** (0.354)","'1.643** (0.552)"
"5","avail_mu","'0.436*** (0.076)","'0.597*** (0.112)"
"6","somepriv_mu","'-0.505* (0.196)","'1.929*** (0.395)"
"7","notpriv_mu","'-0.549* (0.221)","'1.769*** (0.377)"
"8","device_mu","'-2.9*** (0.456)","'7.124*** (1.143)"
"9","voucher_mu","'1.49*** (0.424)","'5.161*** (0.866)"
"10","cash_mu","'2.499*** (0.607)","'5.451*** (0.963)"
"11","pricenone_mu","'-0.002 (0.064)","'0.794*** (0.139)"
"12","pricevoucher_mu","'-0.124* (0.049)","'0.422*** (0.091)"
"13","pricecash_mu","'-0.137* (0.06)","'0.416*** (0.078)"
